Brand,Car Model,Price
Mahindra,Xylo E8,"8,91,300"
Mahindra,Xylo E8 BS IV,"9,02,100"
Mahindra,Xylo Celebration Edition,"9,03,500"
Mahindra,Xylo E8 ABS,"9,13,900"
Mahindra,Xylo Celebration Edition BSIV,"9,14,300"
Mahindra,Xylo E8 ABS BS IV,"9,25,100"
Mahindra,Xylo E8 ABS Airbag,"9,34,700"
Mahindra,Xylo E8 ABS Airbag BSIV,"9,46,600"
Chevrolet,Tavera Neo LS B3 - 10 seats BSII,"7,27,973"
Chevrolet,Tavera Neo LS B4 - 7 seats BSII,"7,32,840"
Chevrolet,Tavera Neo LS B4 - 7(C) seats BSII,"7,43,848"
Chevrolet,Tavera Neo LS B4 - 7 seats BSIII,"7,91,982"
Chevrolet,Tavera Neo LS B4 - 7(C) seats BSIII,"8,02,883"
Chevrolet,Tavera Neo LS B3 - 10 seats BSIII,"8,11,422"
Chevrolet,Tavera Neo LS B3 - 7(C) seats BSII,"8,15,668"
Chevrolet,Tavera Neo LT-L - 9 seats BSII,"8,17,232"
Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,"8,25,651"
Chevrolet,Tavera Neo LT-L - 9 seats BSIII,"9,16,134"
Chevrolet,Tavera Neo LT D1 - 8 seats BSIII,"9,65,034"
Chevrolet,Tavera Neo LT L 8 Seats BS3,"9,65,034"
Chevrolet,Tavera Neo LT D1 - 7(C) seats BSIII,"9,89,820"
Chevrolet,Tavera Neo LT-L - 7 seats BSII,"10,01,572"
Chevrolet,Tavera Neo LT-L - 7 seats BSIII,"10,11,555"
Chevrolet,Optra Magnum 1.6 LS BS3,"7,30,519"
Chevrolet,Optra Magnum 1.6 LS Petrol,"7,36,486"
Chevrolet,Optra Magnum 1.6 LT ABS BS3,"8,30,466"
Chevrolet,Optra Magnum 1.6 LT Petrol,"8,36,433"
Chevrolet,Optra Magnum 1.6 Max,"8,36,433"
Chevrolet,Optra Magnum 2.0 Max,"8,39,417"
Chevrolet,Optra Magnum 2.0 LS,"8,46,416"
Chevrolet,Optra Magnum 2.0 LT BS3,"9,29,381"
Chevrolet,Optra Magnum 2.0 LT,"9,36,380"
Mitsubishi,Lancer 1.5 L Petrol LX,"7,33,000"
Mitsubishi,Lancer 2.0 L Diesel LX,"8,03,438"
Mahindra,Scorpio M2DI,"7,43,700"
Mahindra,Scorpio EX,"7,46,000"
Mahindra,Scorpio EX BSIV,"7,59,200"
Mahindra,Scorpio LX,"7,93,300"
Mahindra,Scorpio LX BS IV,"8,02,200"
Mahindra,Scorpio Getaway,"8,25,400"
Mahindra,Scorpio Sle,"9,20,700"
Mahindra,Scorpio Getaway 4WD,"9,26,200"
Mahindra,Scorpio SLE BS IV,"9,32,200"
Mahindra,Scorpio VLX,"10,29,000"
Mahindra,Scorpio Vlx BS-IV,"10,42,200"
Mahindra,Scorpio VLX Airbag,"10,48,500"
Mahindra,Scorpio Vlx Air bag BS-IV,"10,62,200"
Mahindra,Scorpio VLX 4WD,"11,26,700"
Mahindra,Scorpio VLX AT Airbag,"11,30,400"
Mahindra,Scorpio VLX 4WD BS-IV,"11,40,500"
